source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,I am the only one who can beat Hillary Clinton. I am not a Mitt Romney who doesn't know how to win. Hillary wants no part of "Trump",03-03-2016 11:47:21,9569,25358,false,705358901349388289
Twitter for iPhone,RT @RealBenCarson: I endorse @realDonaldTrump. It’s time to unite behind the candidate who will beat Hillary Clinton and return government …,03-11-2016 15:51:41,21496,0,true,708319492485595138
Twitter for iPhone,It is Clinton and Sanders people who disrupted my rally in Chicago - and then they say I must talk to my people. Phony politicians!,03-12-2016 18:36:45,12953,30095,false,708723421106937857
Twitter for Android,"@FoxBusiness: .@RepTomMarino: I think @realDonaldTrump can beat HillaryClinton. And I'm looking forward to Trump being president.,03-16-2016 13:34:19,3532,11582,false,710096863383277568
Twitter for Android,.@WSJ Editorial says "Clinton primary vote total is 8646551.Trump's is 7533692"-a knock. But she had only 3 opponents-I had 16.Apologize,03-17-2016 13:08:55,5364,16662,false,710452858043416577
Twitter Web Client,Who should star in a reboot of Liar Liar- Hillary Clinton or Ted Cruz? Let me know. https://t.co/ESdiEftWGs,03-17-2016 18:33:31,6460,11608,false,710534544865239040
Twitter for Android,Hillary Clinton has been involved in corruption for most of her professional life!,03-18-2016 00:37:17,14199,35299,false,710626092114120708
Twitter for iPhone,Do you believe that Hillary Clinton now wants Obamacare for illegal immigrants? She should spend more time taking care of our great Vets!,03-19-2016 00:40:10,11479,27840,false,710989203388162050
Twitter for Android,"@DebraRakestraw:  You have over 2M followers more than than @HillaryClinton. This says something about how America feels. #Trump2016 🇺🇸",03-24-2016 02:33:15,3914,13743,false,712829601081384962
Twitter for Android,Hillary Clinton has been working on solving the terrorism problem for years. TIME FOR A CHANGE I WILL SOLVE - AND FAST!,03-24-2016 14:46:29,6005,15244,false,713014127061544961
Twitter for Android,Don't believe the @FoxNews Polls they are just another phony hit job on me. I will beat Hillary Clinton easily in the General Election.,03-26-2016 20:12:01,9120,29563,false,713820823665119232
Twitter for Android,Bernie Sanders says that Hillary Clinton is unqualified to be president. Based on her decision making ability I can go along with that!,04-09-2016 11:22:32,10540,30163,false,718761006068051968
Twitter for Android,"@Trump_Supporter: "Trump Holds 66% Favorable Rating in New York – Leads Hillary Clinton by 19pts in Empire... https://t.co/sGAS3bFpCy,04-16-2016 21:27:48,3430,8704,false,721450040552722433
Twitter for Android,Crooked Hillary Clinton is spending a fortune on ads against me. I am the one person she doesn't want to run against. Will be such fun!,04-17-2016 13:41:38,9236,27658,false,721695114943442946
Twitter for Android,As soon as John Kasich is hit with negative ads he will drop like a rock in the polls against Crooked Hillary Clinton. I will win!,04-24-2016 01:48:17,4646,16000,false,724052308661772288
Twitter for iPhone,RT @DRUDGE_REPORT: DEAD HEAT: CLINTON VS TRUMP https://t.co/wqfQMEMQOj,04-25-2016 18:11:08,2497,0,true,724662038220423168
